GISS-E2-1-G psl data available of the leader_epesc gws

Experiment: historical
Model: GISS-E2-1-G,   Number of Ensembles: 89
Enseble Member: psl_mon_historical_GISS-E2-1-G_r101i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r4i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r4i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r4i1p1f3_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r4i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r4i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r5i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r5i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r5i1p1f3_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r5i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r6i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r6i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r6i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r6i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r7i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r7i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r7i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1380
Enseble Member: psl_mon_historical_GISS-E2-1-G_r7i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r8i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r8i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r8i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r8i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r9i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r9i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r9i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_historical_GISS-E2-1-G_r9i1p5f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980

Experiment: hist-aer
Model: GISS-E2-1-G,   Number of Ensembles: 45
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r10i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r10i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r11i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r11i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r12i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r12i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r13i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r13i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r14i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r14i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r15i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r15i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r16i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r16i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r17i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r17i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r18i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r18i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r19i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r19i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r1i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r1i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r1i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r20i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r20i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r2i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r2i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r2i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r3i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r3i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r3i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r4i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r4i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r4i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r5i1p1f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r5i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r5i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r6i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r6i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r7i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r7i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r8i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r8i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r9i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-aer_GISS-E2-1-G_r9i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980

Experiment: hist-GHG
Model: GISS-E2-1-G,   Number of Ensembles: 45
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r10i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r10i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r11i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r11i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r12i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r12i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r13i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r13i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r14i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r14i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r15i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r15i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r16i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r16i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r17i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r17i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r18i1p1f2_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
Enseble Member: psl_mon_hist-GHG_GISS-E2-1-G_r18i1p3f1_interp.nc, Start Year: 1850-01-16 12:00:00, End Year: 2014-12-16 12:00:00, Number of time steps:1980
