
Model: HadGEM3-GC31-LL,   Number of Ensembles: 50
psl_mon_hist-sol_HadGEM3-GC31-LL_r25i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r26i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r27i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r28i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r29i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r30i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r31i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r32i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r33i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r34i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r35i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r36i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r37i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r38i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r39i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r40i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r41i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r42i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r43i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r44i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r45i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r46i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r47i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r48i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r49i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r50i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r51i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r52i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r53i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r54i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r55i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r56i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r57i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r58i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r59i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
psl_mon_hist-sol_HadGEM3-GC31-LL_r60i1p1f3_interp.nc with calendar: <class 'cftime._cftime.Datetime360Day'>, 1850-01-16 00:00:00 to 2020-12-16 00:00:00, 2052 time steps
Number of ensembles discarded as times did not cover the period of at least 1850-2015: 0, Ensembles left: 50

Model: MIROC6,   Number of Ensembles: 10
psl_mon_hist-sol_MIROC6_r10i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r1i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r2i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r3i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r4i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r5i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r6i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r7i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r8i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
psl_mon_hist-sol_MIROC6_r9i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2020-12-16T12:00:00.000000000, 2052 time steps
Number of ensembles discarded as times did not cover the period of at least 1850-2015: 0, Ensembles left: 10

Model: MPI-ESM1-2-LR,   Number of Ensembles: 30
psl_mon_hist-sol_MPI-ESM1-2-LR_r10i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r11i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r12i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r13i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r14i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r15i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r16i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r17i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r18i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r19i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r1i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r20i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r21i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r22i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r23i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r24i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r25i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r26i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r27i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r28i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r29i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r2i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r30i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r3i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r4i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r5i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r6i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r7i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r8i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
psl_mon_hist-sol_MPI-ESM1-2-LR_r9i1p1f1_interp.nc with calendar: <class 'numpy.datetime64'>, 1850-01-16T12:00:00.000000000 to 2014-12-16T12:00:00.000000000, 1980 time steps
Number of ensembles discarded as times did not cover the period of at least 1850-2015: 0, Ensembles left: 30

Model: NorESM2-LM,   Number of Ensembles: 20
psl_mon_hist-sol_NorESM2-LM_r10i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r11i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r12i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r13i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r14i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r15i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r16i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r17i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r18i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r19i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r1i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r20i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r2i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r3i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r4i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r5i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r6i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r7i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r8i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
psl_mon_hist-sol_NorESM2-LM_r9i1p1f1_interp.nc with calendar: <class 'cftime._cftime.DatetimeNoLeap'>, 1850-01-16 12:00:00 to 2020-12-16 12:00:00, 2052 time steps
Number of ensembles discarded as times did not cover the period of at least 1850-2015: 0, Ensembles left: 20
